name1,season1,ppg1,apg1,rpg1,bpg1,spg1,tov1,gp1,mp1,sp1,name2,season2,ppg2,apg2,rpg2,bpg2,spg2,tov2,gp2,mp2,sp2,label
Bradley Beal,2016-17,23.1,3.5,3.1,1.1,0.3,2.0,77.0,34.9,0.482,Jaylen Brown,2018-19,13.0,1.4,4.2,0.9,0.4,1.3,74.0,25.9,0.465,0.0
Jaylen Brown,2018-19,13.0,1.4,4.2,0.9,0.4,1.3,74.0,25.9,0.465,Bradley Beal,2016-17,23.1,3.5,3.1,1.1,0.3,2.0,77.0,34.9,0.482,1.0
Bradley Beal,2016-17,23.1,3.5,3.1,1.1,0.3,2.0,77.0,34.9,0.482,Stephen Curry,2014-15,23.8,7.7,4.3,2.0,0.2,3.1,80.0,32.7,0.487,0.25
Stephen Curry,2014-15,23.8,7.7,4.3,2.0,0.2,3.1,80.0,32.7,0.487,Bradley Beal,2016-17,23.1,3.5,3.1,1.1,0.3,2.0,77.0,34.9,0.482,0.75
Bradley Beal,2017-18,22.6,4.5,4.4,1.2,0.4,2.6,82.0,36.3,0.46,Chris Paul,2016-17,18.1,9.2,5.0,2.0,0.1,2.4,61.0,31.5,0.476,0.3333333333333333
Chris Paul,2016-17,18.1,9.2,5.0,2.0,0.1,2.4,61.0,31.5,0.476,Bradley Beal,2017-18,22.6,4.5,4.4,1.2,0.4,2.6,82.0,36.3,0.46,0.6666666666666667
Bradley Beal,2018-19,25.6,5.5,5.0,1.5,0.7,2.7,82.0,36.9,0.475,Kyrie Irving,2012-13,22.5,5.9,3.7,1.5,0.4,3.2,59.0,34.7,0.452,0.5
Kyrie Irving,2012-13,22.5,5.9,3.7,1.5,0.4,3.2,59.0,34.7,0.452,Bradley Beal,2018-19,25.6,5.5,5.0,1.5,0.7,2.7,82.0,36.9,0.475,0.5
Bradley Beal,2018-19,25.6,5.5,5.0,1.5,0.7,2.7,82.0,36.9,0.475,Stephen Curry,2011-12,14.7,5.3,3.4,1.5,0.3,2.5,26.0,28.2,0.49,0.0
Stephen Curry,2011-12,14.7,5.3,3.4,1.5,0.3,2.5,26.0,28.2,0.49,Bradley Beal,2018-19,25.6,5.5,5.0,1.5,0.7,2.7,82.0,36.9,0.475,1.0
Bradley Beal,2019-20,30.5,6.1,4.2,1.2,0.4,3.4,57.0,36.0,0.455,Jayson Tatum,2018-19,15.7,2.1,6.0,1.1,0.7,1.5,79.0,31.1,0.45,0.5
Jayson Tatum,2018-19,15.7,2.1,6.0,1.1,0.7,1.5,79.0,31.1,0.45,Bradley Beal,2019-20,30.5,6.1,4.2,1.2,0.4,3.4,57.0,36.0,0.455,0.5
Bradley Beal,2020-21,31.3,4.4,4.7,1.2,0.4,3.1,60.0,35.8,0.485,Tim Duncan,2002-03,23.3,3.9,12.9,0.7,2.9,3.1,81.0,39.3,0.513,1.0
Tim Duncan,2002-03,23.3,3.9,12.9,0.7,2.9,3.1,81.0,39.3,0.513,Bradley Beal,2020-21,31.3,4.4,4.7,1.2,0.4,3.1,60.0,35.8,0.485,0.0
Bradley Beal,2021-22,22.5,5.9,4.7,0.9,0.3,3.4,22.0,35.7,0.437,Devin Booker,2017-18,24.9,4.7,4.5,0.9,0.3,3.6,54.0,34.5,0.432,0.4
Devin Booker,2017-18,24.9,4.7,4.5,0.9,0.3,3.6,54.0,34.5,0.432,Bradley Beal,2021-22,22.5,5.9,4.7,0.9,0.3,3.4,22.0,35.7,0.437,0.6
Bradley Beal,2021-22,22.5,5.9,4.7,0.9,0.3,3.4,22.0,35.7,0.437,Donovan Mitchell,2018-19,23.8,4.2,4.1,1.4,0.4,2.8,77.0,33.7,0.432,0.3333333333333333
Donovan Mitchell,2018-19,23.8,4.2,4.1,1.4,0.4,2.8,77.0,33.7,0.432,Bradley Beal,2021-22,22.5,5.9,4.7,0.9,0.3,3.4,22.0,35.7,0.437,0.6666666666666667
Bradley Beal,2021-22,22.5,5.9,4.7,0.9,0.3,3.4,22.0,35.7,0.437,Stephen Curry,2012-13,22.9,6.9,4.0,1.6,0.2,3.1,78.0,38.2,0.451,0.6666666666666666
Stephen Curry,2012-13,22.9,6.9,4.0,1.6,0.2,3.1,78.0,38.2,0.451,Bradley Beal,2021-22,22.5,5.9,4.7,0.9,0.3,3.4,22.0,35.7,0.437,0.33333333333333337
Chris Paul,2005-06,16.1,7.8,5.1,2.2,0.1,2.3,78.0,36.0,0.43,Damian Lillard,2021-22,21.5,7.8,4.0,0.7,0.4,2.6,20.0,35.7,0.397,0.0
Damian Lillard,2021-22,21.5,7.8,4.0,0.7,0.4,2.6,20.0,35.7,0.397,Chris Paul,2005-06,16.1,7.8,5.1,2.2,0.1,2.3,78.0,36.0,0.43,1.0
